SAMPLE #,SAMPLE ID,SPECIES,OD,RESULT
1,R1,RABBIT,0.1159,NEGATIVE
2,R2,RABBIT,0.15735,NEGATIVE
3,R3,RABBIT,0.2473,NEGATIVE
4,R4,RABBIT,0.10085,NEGATIVE
5,R5,RABBIT,0.10035,NEGATIVE
6,R6,RABBIT,0.3987,NEGATIVE
7,R7,RABBIT,0.15365,NEGATIVE
8,R8,RABBIT,0.17175,NEGATIVE
9,R9,RABBIT,0.1397,NEGATIVE
10,R10,RABBIT,0.10985,NEGATIVE
11,R11,RABBIT,0.13265,NEGATIVE
12,R12,RABBIT,0.1315,NEGATIVE
13,R13,RABBIT,0.12515,NEGATIVE
14,R14,RABBIT,0.1668,NEGATIVE
15,R15,RABBIT,0.1022,NEGATIVE
16,R16,RABBIT,0.10895,NEGATIVE
17,SH1,SHEEP,0.62935,NEGATIVE
18,SH2 ,SHEEP,0.6669,NEGATIVE
19,SH3 ,SHEEP,0.6133,NEGATIVE
20,SH4 ,SHEEP,0.42725,NEGATIVE
21,SH5,SHEEP,0.62785,NEGATIVE
22,SH6 ,SHEEP,0.4952,NEGATIVE
23,SH7,SHEEP,0.3338,NEGATIVE
24,SH8,SHEEP,0.17385,NEGATIVE
25,SH9,SHEEP,0.2185,NEGATIVE
26,SH10,SHEEP,0.2358,NEGATIVE
27,SH11,SHEEP,0.23465,NEGATIVE
28,SH12,SHEEP,0.24845,NEGATIVE
29,SH13,SHEEP,0.1055,NEGATIVE
30,SH14,SHEEP,0.09005,NEGATIVE
31,SH15,SHEEP,0.11455,NEGATIVE
32,SH16,SHEEP,0.2596,NEGATIVE
33,SH17,SHEEP,0.1744,NEGATIVE
34,SH18,SHEEP,0.1202,NEGATIVE
35,SH19,SHEEP,0.33985,NEGATIVE
36,SH20,SHEEP,0.2053,NEGATIVE
37,SH21,SHEEP,0.16045,NEGATIVE
38,SH22,SHEEP,0.23815,NEGATIVE
39,SH23,SHEEP,0.17345,NEGATIVE
40,SH24,SHEEP,0.2043,NEGATIVE
41,SH25,SHEEP,0.17205,NEGATIVE
42,SH26,SHEEP,0.1431,NEGATIVE
43,SH27,SHEEP,0.29135,NEGATIVE
44,A1,SHEEP,0.49085,NEGATIVE
45,A2,SHEEP,0.07295,NEGATIVE
46,A3,COW,2.67345,POSITIVE
47,A4,COW,0.33355,NEGATIVE
48,A5,COW,0.2215,NEGATIVE
49,A7,COW,0.26295,NEGATIVE
50,A8,COW,1.28775,POSITIVE
51,A9,SHEEP,0.14355,NEGATIVE
52,A10,SHEEP,0.3114,NEGATIVE
53,A11,SHEEP,4,POSITIVE
54,A12,SHEEP,2.2359,POSITIVE
55,A13,SHEEP,0.2818,NEGATIVE
56,A15,SHEEP,0.18815,NEGATIVE
57,A16,PIG,1.84625,POSITIVE
58,A17,PIG,2.8577,POSITIVE
59,A18,SHEEP,3.7054,POSITIVE
60,A19,SHEEP,0.2367,NEGATIVE
61,A20,SHEEP,1.1116,POSITIVE
62,A21,COW,0.37825,NEGATIVE
63,A22,COW,0.1698,NEGATIVE
64,A23,SHEEP,0.23765,NEGATIVE
65,A24,SHEEP,0.53945,NEGATIVE
66,A25,COW,0.5111,NEGATIVE
67,A26,SHEEP,0.1697,NEGATIVE
68,A27,COW,0.059,NEGATIVE
69,A28,COW,0.36015,NEGATIVE
70,A29,SHEEP,0.36015,NEGATIVE
71,A30,GOAT,2.31865,POSITIVE
72,A31,SHEEP,1.2676,POSITIVE
73,A32,SHEEP,0.3622,NEGATIVE
74,A33,GOAT,2.66885,POSITIVE
75,A34,DEER,4,POSITIVE
76,A35,SHEEP,0.0391,NEGATIVE
77,A38,COW,0.46915,NEGATIVE
78,A39,COW,0.8041,POSITIVE
79,A40,COW,0.37565,NEGATIVE
80,A41,COW,0.1069,NEGATIVE
81,A42,COW,0.54175,NEGATIVE
82,A43,COW,0.57815,NEGATIVE
83,A44,SHEEP,0.15415,NEGATIVE
84,A45,COW,0.7383,NEGATIVE
85,A46,SHEEP,0.3282,NEGATIVE
86,A47,SHEEP,0.073,NEGATIVE
87,V1,GOAT,0.62565,NEGATIVE
88,V3,PIG,0.7481,NEGATIVE
89,V7,GOAT,1.41705,POSITIVE
90,V8,COW,0.326,NEGATIVE
91,V9,PIG,0.12485,NEGATIVE
92,V10,COW,0.81035,POSITIVE
93,V11,PIG,0.45235,NEGATIVE
94,V12,COW,0.93525,POSITIVE
95,V13,RABBIT,0.0827,NEGATIVE
96,V15,COW,0.05315,NEGATIVE
97,V16,GOAT,1.7355,POSITIVE
98,V17,PIG,0.59165,NEGATIVE
99,V18,PIG,0.6917,NEGATIVE
100,V19,SHEEP,0.5685,NEGATIVE
101,V20,COW,0.68365,NEGATIVE
102,V21,GOAT,0.2156,NEGATIVE
103,V23,COW,0.7795,POSITIVE
104,V25,COW,0.8524,POSITIVE
105,V26,GOAT,0.6266,NEGATIVE
106,V27,PIG,3.8305,POSITIVE
107,V29,SHEEP,1.1248,POSITIVE
108,V30,PIG,2.0651,POSITIVE
109,V31,PIG,0.41705,NEGATIVE
110,V32,SHEEP,1.10845,POSITIVE
111,V33,SHEEP,1.0722,POSITIVE
112,V35,GOAT,0.1237,NEGATIVE
113,V36,COW,1.32815,POSITIVE
114,V37,GOAT,0.99465,POSITIVE
115,V38,PIG,1.2061,POSITIVE
116,V39,SHEEP,0.6416,NEGATIVE
117,V40,COW,0.2016,NEGATIVE
118,V41,COW,0.29235,NEGATIVE
119,V42,COW,1.3967,POSITIVE
120,V44,COW,0.6528,NEGATIVE
121,V45,PIG,2.64135,POSITIVE
122,V46,PIG,0.845,POSITIVE
123,V47,PIG,1.7721,POSITIVE
124,V48,SHEEP,0.2251,NEGATIVE
125,V49,SHEEP,0.28415,NEGATIVE
126,V50,SHEEP,0.3907,NEGATIVE
127,V51,SHEEP,1.3714,POSITIVE
128,V52,SHEEP,0.4791,NEGATIVE
129,V53,SHEEP,0.4442,NEGATIVE
130,V54,SHEEP,0.11335,NEGATIVE
131,V55,GOAT,0.9731,POSITIVE
132,V56,GOAT,0.2708,NEGATIVE
133,V57,COW,0.16955,NEGATIVE
134,V58,PIG,1.20305,POSITIVE
135,V59,PIG,1.0296,POSITIVE
136,V60,PIG,2.15605,POSITIVE
137,V61,PIG,0.6298,NEGATIVE
138,V62,COW,4,POSITIVE
139,V63,COW,2.3218,POSITIVE
140,V64,COW,1.3198,POSITIVE
141,V65,COW,0.145,NEGATIVE
